@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,988,0,1972,0,1,1,0.333784,1,0.666216,0.500507,1,1,0
1,985,3,1704,268,0.864097,0.996964,0.366307,0.996964,0.633693,0.535763,0.908446,1.097439,0
2,985,3,1703,269,0.86359,0.996964,0.366443,0.996964,0.633557,0.535909,0.908108,1.097847,0
3,985,3,1702,270,0.863083,0.996964,0.36658,0.996964,0.63342,0.536054,0.90777,1.098255,0
4,985,3,1701,271,0.862576,0.996964,0.366716,0.996964,0.633284,0.5362,0.907432,1.098664,0
5,985,3,1700,272,0.862069,0.996964,0.366853,0.996964,0.633147,0.536346,0.907095,1.099073,0
6,985,3,1699,273,0.861562,0.996964,0.36699,0.996964,0.63301,0.536492,0.906757,1.099483,0
7,985,3,1698,274,0.861055,0.996964,0.367126,0.996964,0.632874,0.536639,0.906419,1.099893,0
8,985,3,1697,275,0.860548,0.996964,0.367263,0.996964,0.632737,0.536785,0.906081,1.100303,0
9,985,3,1696,276,0.860041,0.996964,0.3674,0.996964,0.6326,0.536931,0.905743,1.100713,0
10,985,3,1695,277,0.859533,0.996964,0.367537,0.996964,0.632463,0.537077,0.905405,1.101124,0
11,985,3,1694,278,0.859026,0.996964,0.367675,0.996964,0.632325,0.537224,0.905068,1.101535,0
12,985,3,1693,279,0.858519,0.996964,0.367812,0.996964,0.632188,0.53737,0.90473,1.101946,0
13,985,3,1692,280,0.858012,0.996964,0.367949,0.996964,0.632051,0.537517,0.904392,1.102358,0
14,985,3,1691,281,0.857505,0.996964,0.368087,0.996964,0.631913,0.537664,0.904054,1.10277,0
15,985,3,1690,282,0.856998,0.996964,0.368224,0.996964,0.631776,0.537811,0.903716,1.103182,0
16,985,3,1689,283,0.856491,0.996964,0.368362,0.996964,0.631638,0.537957,0.903378,1.103595,0
17,985,3,1688,284,0.855984,0.996964,0.3685,0.996964,0.6315,0.538104,0.903041,1.104008,0
18,985,3,1687,285,0.855477,0.996964,0.368638,0.996964,0.631362,0.538251,0.902703,1.104421,0
19,985,3,1686,286,0.85497,0.996964,0.368776,0.996964,0.631224,0.538398,0.902365,1.104834,0
20,985,3,1685,287,0.854462,0.996964,0.368914,0.996964,0.631086,0.538546,0.902027,1.105248,0
21,985,3,1684,288,0.853955,0.996964,0.369052,0.996964,0.630948,0.538693,0.901689,1.105662,0
22,985,3,1683,289,0.853448,0.996964,0.36919,0.996964,0.63081,0.53884,0.901351,1.106077,0
23,985,3,1682,290,0.852941,0.996964,0.369329,0.996964,0.630671,0.538988,0.901014,1.106491,0
24,985,3,1681,291,0.852434,0.996964,0.369467,0.996964,0.630533,0.539135,0.900676,1.106906,0
25,985,3,1680,292,0.851927,0.996964,0.369606,0.996964,0.630394,0.539283,0.900338,1.107322,0
26,985,3,1679,293,0.85142,0.996964,0.369745,0.996964,0.630255,0.53943,0.9,1.107737,0
27,985,3,1678,294,0.850913,0.996964,0.369884,0.996964,0.630116,0.539578,0.899662,1.108153,0
28,985,3,1677,295,0.850406,0.996964,0.370023,0.996964,0.629977,0.539726,0.899324,1.10857,0
29,985,3,1676,296,0.849899,0.996964,0.370162,0.996964,0.629838,0.539874,0.898986,1.108986,0
30,985,3,1675,297,0.849391,0.996964,0.370301,0.996964,0.629699,0.540022,0.898649,1.109403,0
31,985,3,1674,298,0.848884,0.996964,0.37044,0.996964,0.62956,0.54017,0.898311,1.10982,0
32,985,3,1673,299,0.848377,0.996964,0.370579,0.996964,0.629421,0.540318,0.897973,1.110238,0
33,985,3,1672,300,0.84787,0.996964,0.370719,0.996964,0.629281,0.540466,0.897635,1.110656,0
34,985,3,1671,301,0.847363,0.996964,0.370858,0.996964,0.629142,0.540615,0.897297,1.111074,0
35,985,3,1670,302,0.846856,0.996964,0.370998,0.996964,0.629002,0.540763,0.896959,1.111492,0
36,985,3,1669,303,0.846349,0.996964,0.371138,0.996964,0.628862,0.540912,0.896622,1.111911,0
37,985,3,1668,304,0.845842,0.996964,0.371278,0.996964,0.628722,0.54106,0.896284,1.11233,0
38,985,3,1667,305,0.845335,0.996964,0.371418,0.996964,0.628582,0.541209,0.895946,1.11275,0
39,985,3,1666,306,0.844828,0.996964,0.371558,0.996964,0.628442,0.541358,0.895608,1.113169,0
40,985,3,1665,307,0.84432,0.996964,0.371698,0.996964,0.628302,0.541506,0.89527,1.113589,0
41,985,3,1664,308,0.843813,0.996964,0.371838,0.996964,0.628162,0.541655,0.894932,1.11401,0
42,985,3,1663,309,0.843306,0.996964,0.371979,0.996964,0.628021,0.541804,0.894595,1.114431,0
43,985,3,1662,310,0.842799,0.996964,0.372119,0.996964,0.627881,0.541953,0.894257,1.114852,0
44,985,3,1661,311,0.842292,0.996964,0.37226,0.996964,0.62774,0.542102,0.893919,1.115273,0
45,985,3,1660,312,0.841785,0.996964,0.372401,0.996964,0.627599,0.542252,0.893581,1.115695,0
46,985,3,1659,313,0.841278,0.996964,0.372542,0.996964,0.627458,0.542401,0.893243,1.116117,0
47,985,3,1658,314,0.840771,0.996964,0.372683,0.996964,0.627317,0.54255,0.892905,1.116539,0
48,985,3,1657,315,0.840264,0.996964,0.372824,0.996964,0.627176,0.5427,0.892568,1.116961,0
49,985,3,1656,316,0.839757,0.996964,0.372965,0.996964,0.627035,0.542849,0.89223,1.117384,0
50,985,3,1655,317,0.839249,0.996964,0.373106,0.996964,0.626894,0.542999,0.891892,1.117808,0
51,985,3,1654,318,0.838742,0.996964,0.373247,0.996964,0.626753,0.543149,0.891554,1.118231,0
52,985,3,1653,319,0.838235,0.996964,0.373389,0.996964,0.626611,0.543298,0.891216,1.118655,0
53,985,3,1652,320,0.837728,0.996964,0.373531,0.996964,0.626469,0.543448,0.890878,1.119079,0
54,985,3,1651,321,0.837221,0.996964,0.373672,0.996964,0.626328,0.543598,0.890541,1.119504,0
55,985,3,1650,322,0.836714,0.996964,0.373814,0.996964,0.626186,0.543748,0.890203,1.119929,0
56,985,3,1649,323,0.836207,0.996964,0.373956,0.996964,0.626044,0.543898,0.889865,1.120354,0
57,985,3,1648,324,0.8357,0.996964,0.374098,0.996964,0.625902,0.544049,0.889527,1.120779,0
58,985,3,1647,325,0.835193,0.996964,0.37424,0.996964,0.62576,0.544199,0.889189,1.121205,0
59,985,3,1646,326,0.834686,0.996964,0.374382,0.996964,0.625618,0.544349,0.888851,1.121631,0
60,985,3,1645,327,0.834178,0.996964,0.374525,0.996964,0.625475,0.5445,0.888514,1.122058,0
61,985,3,1644,328,0.833671,0.996964,0.374667,0.996964,0.625333,0.54465,0.888176,1.122485,0
62,985,3,1643,329,0.833164,0.996964,0.37481,0.996964,0.62519,0.544801,0.887838,1.122912,0
63,985,3,1642,330,0.832657,0.996964,0.374952,0.996964,0.625048,0.544952,0.8875,1.123339,0
64,985,3,1641,331,0.83215,0.996964,0.375095,0.996964,0.624905,0.545102,0.887162,1.123767,0
65,985,3,1640,332,0.831643,0.996964,0.375238,0.996964,0.624762,0.545253,0.886824,1.124195,0
66,985,3,1639,333,0.831136,0.996964,0.375381,0.996964,0.624619,0.545404,0.886486,1.124624,0
67,985,3,1638,334,0.830629,0.996964,0.375524,0.996964,0.624476,0.545555,0.886149,1.125052,0
68,985,3,1637,335,0.830122,0.996964,0.375667,0.996964,0.624333,0.545706,0.885811,1.125481,0
69,985,3,1636,336,0.829615,0.996964,0.375811,0.996964,0.624189,0.545858,0.885473,1.125911,0
70,985,3,1635,337,0.829108,0.996964,0.375954,0.996964,0.624046,0.546009,0.885135,1.126341,0
71,985,3,1634,338,0.8286,0.996964,0.376098,0.996964,0.623902,0.54616,0.884797,1.126771,0
72,985,3,1633,339,0.828093,0.996964,0.376241,0.996964,0.623759,0.546312,0.884459,1.127201,0
73,985,3,1632,340,0.827586,0.996964,0.376385,0.996964,0.623615,0.546463,0.884122,1.127632,0
74,985,3,1631,341,0.827079,0.996964,0.376529,0.996964,0.623471,0.546615,0.883784,1.128063,0
75,985,3,1630,342,0.826572,0.996964,0.376673,0.996964,0.623327,0.546767,0.883446,1.128494,0
76,985,3,1629,343,0.826065,0.996964,0.376817,0.996964,0.623183,0.546918,0.883108,1.128926,0
77,985,3,1628,344,0.825558,0.996964,0.376961,0.996964,0.623039,0.54707,0.88277,1.129358,0
78,985,3,1627,345,0.825051,0.996964,0.377106,0.996964,0.622894,0.547222,0.882432,1.12979,0
79,985,3,1626,346,0.824544,0.996964,0.37725,0.996964,0.62275,0.547374,0.882095,1.130223,0
80,985,3,1625,347,0.824037,0.996964,0.377395,0.996964,0.622605,0.547526,0.881757,1.130656,0
81,985,3,1624,348,0.823529,0.996964,0.377539,0.996964,0.622461,0.547679,0.881419,1.131089,0
82,985,3,1623,349,0.823022,0.996964,0.377684,0.996964,0.622316,0.547831,0.881081,1.131523,0
83,985,3,1622,350,0.822515,0.996964,0.377829,0.996964,0.622171,0.547983,0.880743,1.131957,0
84,985,3,1621,351,0.822008,0.996964,0.377974,0.996964,0.622026,0.548136,0.880405,1.132391,0
85,985,3,1620,352,0.821501,0.996964,0.378119,0.996964,0.621881,0.548288,0.880068,1.132826,0
86,985,3,1619,353,0.820994,0.996964,0.378264,0.996964,0.621736,0.548441,0.87973,1.133261,0
87,985,3,1618,354,0.820487,0.996964,0.37841,0.996964,0.62159,0.548594,0.879392,1.133697,0
88,985,3,1617,355,0.81998,0.996964,0.378555,0.996964,0.621445,0.548747,0.879054,1.134132,0
89,985,3,1616,356,0.819473,0.996964,0.3787,0.996964,0.6213,0.548899,0.878716,1.134568,0
90,985,3,1615,357,0.818966,0.996964,0.378846,0.996964,0.621154,0.549052,0.878378,1.135005,0
91,985,3,1614,358,0.818458,0.996964,0.378992,0.996964,0.621008,0.549205,0.878041,1.135441,0
92,985,3,1613,359,0.817951,0.996964,0.379138,0.996964,0.620862,0.549359,0.877703,1.135878,0
93,985,3,1612,360,0.817444,0.996964,0.379284,0.996964,0.620716,0.549512,0.877365,1.136316,0
94,985,3,1611,361,0.816937,0.996964,0.37943,0.996964,0.62057,0.549665,0.877027,1.136754,0
95,985,3,1610,362,0.81643,0.996964,0.379576,0.996964,0.620424,0.549819,0.876689,1.137192,0
96,985,3,1609,363,0.815923,0.996964,0.379722,0.996964,0.620278,0.549972,0.876351,1.13763,0
97,985,3,1608,364,0.815416,0.996964,0.379869,0.996964,0.620131,0.550126,0.876014,1.138069,0
98,985,3,1607,365,0.814909,0.996964,0.380015,0.996964,0.619985,0.550279,0.875676,1.138508,0
99,985,3,1606,366,0.814402,0.996964,0.380162,0.996964,0.619838,0.550433,0.875338,1.138947,0
100,985,3,1605,367,0.813895,0.996964,0.380309,0.996964,0.619691,0.550587,0.875,1.139387,0
101,985,3,1604,368,0.813387,0.996964,0.380456,0.996964,0.619544,0.550741,0.874662,1.139827,0
102,985,3,1603,369,0.81288,0.996964,0.380603,0.996964,0.619397,0.550895,0.874324,1.140267,0
103,985,3,1602,370,0.812373,0.996964,0.38075,0.996964,0.61925,0.551049,0.873986,1.140708,0
104,985,3,1601,371,0.811866,0.996964,0.380897,0.996964,0.619103,0.551203,0.873649,1.141149,0
105,985,3,1600,372,0.811359,0.996964,0.381044,0.996964,0.618956,0.551357,0.873311,1.141591,0
106,985,3,1599,373,0.810852,0.996964,0.381192,0.996964,0.618808,0.551512,0.872973,1.142033,0
107,985,3,1598,374,0.810345,0.996964,0.38134,0.996964,0.61866,0.551666,0.872635,1.142475,0
108,985,3,1597,375,0.809838,0.996964,0.381487,0.996964,0.618513,0.551821,0.872297,1.142917,0
109,985,3,1596,376,0.809331,0.996964,0.381635,0.996964,0.618365,0.551975,0.871959,1.14336,0
110,985,3,1595,377,0.808824,0.996964,0.381783,0.996964,0.618217,0.55213,0.871622,1.143803,0
111,985,3,1594,378,0.808316,0.996964,0.381931,0.996964,0.618069,0.552285,0.871284,1.144247,0
112,985,3,1593,379,0.807809,0.996964,0.382079,0.996964,0.617921,0.55244,0.870946,1.144691,0
113,985,3,1592,380,0.807302,0.996964,0.382227,0.996964,0.617773,0.552595,0.870608,1.145135,0
114,985,3,1591,381,0.806795,0.996964,0.382376,0.996964,0.617624,0.55275,0.87027,1.145579,0
115,985,3,1590,382,0.806288,0.996964,0.382524,0.996964,0.617476,0.552905,0.869932,1.146024,0
116,985,3,1589,383,0.805781,0.996964,0.382673,0.996964,0.617327,0.55306,0.869595,1.146469,0
117,985,3,1588,384,0.805274,0.996964,0.382822,0.996964,0.617178,0.553215,0.869257,1.146915,0
118,985,3,1587,385,0.804767,0.996964,0.38297,0.996964,0.61703,0.553371,0.868919,1.147361,0
119,985,3,1586,386,0.80426,0.996964,0.383119,0.996964,0.616881,0.553526,0.868581,1.147807,0
120,985,3,1585,387,0.803753,0.996964,0.383268,0.996964,0.616732,0.553682,0.868243,1.148254,0
121,985,3,1584,388,0.803245,0.996964,0.383418,0.996964,0.616582,0.553838,0.867905,1.148701,0
122,985,3,1583,389,0.802738,0.996964,0.383567,0.996964,0.616433,0.553993,0.867568,1.149148,0
123,985,3,1582,390,0.802231,0.996964,0.383716,0.996964,0.616284,0.554149,0.86723,1.149596,0
124,985,3,1581,391,0.801724,0.996964,0.383866,0.996964,0.616134,0.554305,0.866892,1.150044,0
125,985,3,1580,392,0.801217,0.996964,0.384016,0.996964,0.615984,0.554461,0.866554,1.150492,0
126,985,3,1579,393,0.80071,0.996964,0.384165,0.996964,0.615835,0.554617,0.866216,1.150941,0
127,985,3,1578,394,0.800203,0.996964,0.384315,0.996964,0.615685,0.554773,0.865878,1.15139,0
128,985,3,1577,395,0.799696,0.996964,0.384465,0.996964,0.615535,0.55493,0.865541,1.151839,0
129,985,3,1576,396,0.799189,0.996964,0.384615,0.996964,0.615385,0.555086,0.865203,1.152289,0
130,985,3,1575,397,0.798682,0.996964,0.384766,0.996964,0.615234,0.555242,0.864865,1.152739,0
131,985,3,1574,398,0.798174,0.996964,0.384916,0.996964,0.615084,0.555399,0.864527,1.15319,0
132,985,3,1573,399,0.797667,0.996964,0.385066,0.996964,0.614934,0.555556,0.864189,1.15364,0
133,985,3,1572,400,0.79716,0.996964,0.385217,0.996964,0.614783,0.555712,0.863851,1.154092,0
134,985,3,1571,401,0.796653,0.996964,0.385368,0.996964,0.614632,0.555869,0.863514,1.154543,0
135,985,3,1570,402,0.796146,0.996964,0.385519,0.996964,0.614481,0.556026,0.863176,1.154995,0
136,985,3,1569,403,0.795639,0.996964,0.38567,0.996964,0.61433,0.556183,0.862838,1.155447,0
137,985,3,1568,404,0.795132,0.996964,0.385821,0.996964,0.614179,0.55634,0.8625,1.1559,0
138,985,3,1567,405,0.794625,0.996964,0.385972,0.996964,0.614028,0.556497,0.862162,1.156353,0
139,985,3,1566,406,0.794118,0.996964,0.386123,0.996964,0.613877,0.556654,0.861824,1.156806,0
140,985,3,1565,407,0.793611,0.996964,0.386275,0.996964,0.613725,0.556812,0.861486,1.15726,0
141,985,3,1564,408,0.793103,0.996964,0.386426,0.996964,0.613574,0.556969,0.861149,1.157714,0
142,985,3,1563,409,0.792596,0.996964,0.386578,0.996964,0.613422,0.557127,0.860811,1.158168,0
143,985,3,1562,410,0.792089,0.996964,0.386729,0.996964,0.613271,0.557284,0.860473,1.158623,0
144,985,3,1561,411,0.791582,0.996964,0.386881,0.996964,0.613119,0.557442,0.860135,1.159078,0
145,985,3,1560,412,0.791075,0.996964,0.387033,0.996964,0.612967,0.5576,0.859797,1.159533,0
146,985,3,1559,413,0.790568,0.996964,0.387186,0.996964,0.612814,0.557758,0.859459,1.159989,0
147,985,3,1558,414,0.790061,0.996964,0.387338,0.996964,0.612662,0.557916,0.859122,1.160445,0
148,985,3,1557,415,0.789554,0.996964,0.38749,0.996964,0.61251,0.558074,0.858784,1.160902,0
149,985,3,1556,416,0.789047,0.996964,0.387643,0.996964,0.612357,0.558232,0.858446,1.161359,0
150,985,3,1555,417,0.78854,0.996964,0.387795,0.996964,0.612205,0.55839,0.858108,1.161816,0
151,985,3,1554,418,0.788032,0.996964,0.387948,0.996964,0.612052,0.558548,0.85777,1.162273,0
152,985,3,1553,419,0.787525,0.996964,0.388101,0.996964,0.611899,0.558707,0.857432,1.162731,0
153,985,3,1552,420,0.787018,0.996964,0.388254,0.996964,0.611746,0.558865,0.857095,1.16319,0
154,985,3,1551,421,0.786511,0.996964,0.388407,0.996964,0.611593,0.559024,0.856757,1.163648,0
155,985,3,1550,422,0.786004,0.996964,0.38856,0.996964,0.61144,0.559183,0.856419,1.164107,0
156,985,3,1549,423,0.785497,0.996964,0.388713,0.996964,0.611287,0.559341,0.856081,1.164567,0
157,985,3,1548,424,0.78499,0.996964,0.388867,0.996964,0.611133,0.5595,0.855743,1.165027,0
158,985,3,1547,425,0.784483,0.996964,0.389021,0.996964,0.610979,0.559659,0.855405,1.165487,0
159,985,3,1546,426,0.783976,0.996964,0.389174,0.996964,0.610826,0.559818,0.855068,1.165947,0
160,985,3,1545,427,0.783469,0.996964,0.389328,0.996964,0.610672,0.559977,0.85473,1.166408,0
161,985,3,1544,428,0.782961,0.996964,0.389482,0.996964,0.610518,0.560136,0.854392,1.166869,0
162,985,3,1543,429,0.782454,0.996964,0.389636,0.996964,0.610364,0.560296,0.854054,1.167331,0
163,985,3,1542,430,0.781947,0.996964,0.38979,0.996964,0.61021,0.560455,0.853716,1.167793,0
164,985,3,1541,431,0.78144,0.996964,0.389945,0.996964,0.610055,0.560615,0.853378,1.168255,0
165,985,3,1540,432,0.780933,0.996964,0.390099,0.996964,0.609901,0.560774,0.853041,1.168718,0
166,985,3,1539,433,0.780426,0.996964,0.390254,0.996964,0.609746,0.560934,0.852703,1.169181,0
167,985,3,1538,434,0.779919,0.996964,0.390408,0.996964,0.609592,0.561094,0.852365,1.169644,0
168,985,3,1537,435,0.779412,0.996964,0.390563,0.996964,0.609437,0.561254,0.852027,1.170108,0
169,985,3,1536,436,0.778905,0.996964,0.390718,0.996964,0.609282,0.561414,0.851689,1.170572,0
