@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,724,0,1427,0,1,1,0.336588,1,0.663412,0.503652,1,1,0.033585
1,724,0,1426,1,0.999299,1,0.336744,1,0.663256,0.503827,0.999535,1.000465,0.065076
2,724,0,1425,2,0.998598,1,0.336901,1,0.663099,0.504003,0.99907,1.000931,0.093197
3,724,0,1424,3,0.997898,1,0.337058,1,0.662942,0.504178,0.998605,1.001397,0.11009
4,724,0,1423,4,0.997197,1,0.337215,1,0.662785,0.504354,0.99814,1.001863,0.192681
5,724,0,1422,5,0.996496,1,0.337372,1,0.662628,0.50453,0.997675,1.00233,0.231552
6,724,0,1421,6,0.995795,1,0.337529,1,0.662471,0.504705,0.997211,1.002797,0.243976
7,724,0,1420,7,0.995095,1,0.337687,1,0.662313,0.504881,0.996746,1.003265,0.259184
8,724,0,1419,8,0.994394,1,0.337844,1,0.662156,0.505058,0.996281,1.003733,0.307719
9,724,0,1418,9,0.993693,1,0.338002,1,0.661998,0.505234,0.995816,1.004202,0.398597
10,724,0,1417,10,0.992992,1,0.33816,1,0.66184,0.50541,0.995351,1.004671,0.40679
11,724,0,1416,11,0.992292,1,0.338318,1,0.661682,0.505587,0.994886,1.00514,0.429963
12,724,0,1415,12,0.991591,1,0.338476,1,0.661524,0.505763,0.994421,1.00561,0.476059
13,724,0,1414,13,0.99089,1,0.338634,1,0.661366,0.50594,0.993956,1.00608,0.500152
14,724,0,1413,14,0.990189,1,0.338793,1,0.661207,0.506117,0.993491,1.006551,0.504514
15,724,0,1412,15,0.989488,1,0.338951,1,0.661049,0.506294,0.993026,1.007022,0.51198
